prad,napiecie,power,setcurrent
0.297,4.984,1.5,100
0.173,5.118,0.9,130
0.126,5.172,0.7,160
0.139,5.172,0.7,190
0.158,5.145,0.8,220
0.192,5.118,0.9,250
0.226,5.091,1.2,280
0.253,5.038,1.3,310
0.284,5.011,1.4,340
0.308,4.984,1.5,370
0.342,4.957,1.7,400
0.375,4.93,1.8,430
0.4,4.904,2.0,460
0.433,4.877,2.1,490
0.457,4.85,2.2,520
0.491,4.796,2.4,550
0.516,4.77,2.5,580
0.56,4.743,2.6,610
0.584,4.716,2.8,640
0.608,4.689,2.9,670
0.641,4.636,3.0,700
0.666,4.609,3.1,730
0.701,4.582,3.2,760
0.734,4.555,3.3,790
0.759,4.529,3.4,820
0.792,4.493,3.6,850
0.818,4.466,3.7,880
0.853,4.439,3.8,910
0.885,4.386,3.9,940
0.91,4.359,4.0,970
0.942,4.332,4.1,1000
0.967,4.305,4.2,1030
1.002,4.278,4.3,1060
1.034,4.225,4.4,1090
1.058,4.198,4.4,1120
1.092,4.171,4.6,1150
1.117,4.144,4.6,1180
1.152,4.118,4.7,1210
1.185,4.091,4.8,1240
1.218,4.037,4.9,1270
1.243,4.01,5.0,1300
1.251,4.01,5.0,1330
1.251,4.01,5.0,1360
1.251,4.01,5.0,1390
1.251,4.01,5.0,1420
1.251,4.01,5.0,1450
1.251,4.01,5.0,1480
1.251,4.01,5.0,1510
1.314,3.936,5.2,1540
1.375,3.878,5.3,1570
1.49,3.758,5.6,1600
1.567,3.706,5.8,1630
1.608,3.649,5.9,1660
1.635,3.62,5.9,1690
1.669,3.565,5.9,1720
1.696,3.539,6.0,1750
1.728,3.506,6.1,1780
1.752,3.474,6.1,1810
1.785,3.448,6.2,1840
1.818,3.412,6.2,1870
1.843,3.376,6.2,1900
1.875,3.353,6.3,1930
1.9,3.318,6.3,1960
1.932,3.291,6.4,1990
1.958,3.256,6.4,2020
1.993,3.229,6.4,2050
2.02,3.195,6.5,2080
2.052,3.167,6.5,2110
2.085,3.134,6.5,2140
2.111,3.108,6.6,2170
2.145,3.072,6.6,2200
2.178,3.047,6.6,2230
2.204,3.012,6.6,2260
2.237,2.975,6.7,2290
2.269,2.942,6.7,2320
2.295,2.909,6.7,2350
2.328,2.883,6.7,2380
2.361,2.848,6.7,2410
2.387,2.822,6.7,2440
2.419,2.788,6.7,2470
2.445,2.753,6.8,2500
2.477,2.728,6.8,2530
2.509,2.695,6.8,2560
2.534,2.668,6.8,2590
2.56,2.633,6.8,2620
2.594,2.607,6.8,2650
2.628,2.574,6.8,2680
2.652,2.546,6.8,2710
2.685,2.511,6.7,2740
2.719,2.486,6.8,2770
2.745,2.451,6.7,2800
2.779,2.417,6.7,2830
2.809,2.384,6.7,2860
2.834,2.35,6.7,2890
2.867,2.322,6.7,2920
2.902,2.288,6.6,2950
2.929,2.261,6.6,2980
2.961,2.227,6.6,3010
2.986,2.2,6.6,3040
3.01,2.159,6.5,3070
3.046,2.129,6.5,3100
3.076,2.093,6.4,3130
3.105,2.067,6.4,3160
3.135,2.031,6.4,3190
3.171,1.998,6.3,3220
3.201,1.963,6.3,3250
3.223,1.939,6.2,3280
3.259,1.905,6.2,3310
3.289,1.876,6.2,3340
3.325,1.841,6.1,3370
3.348,1.815,6.1,3400
3.377,1.783,6.0,3430
3.414,1.757,6.0,3460
3.443,1.721,5.9,3490
3.472,1.687,5.9,3520
3.502,1.655,5.8,3550
3.531,1.628,5.7,3580
3.56,1.595,5.7,3610
3.582,1.57,5.6,3640
3.619,1.534,5.6,3670
3.649,1.507,5.5,3700
3.678,1.474,5.4,3730
3.7,1.448,5.4,3760
3.737,1.413,5.3,3790
3.766,1.38,5.2,3820
3.803,1.347,5.1,3850
3.832,1.322,5.1,3880
3.861,1.291,5.0,3910
3.883,1.262,4.9,3940
3.92,1.228,4.8,3970
